theorem,category,assumption_or_definition,used_in_proof,source_binding,lean_foundation_dependencies,declared_but_proof_unused,deferred_deployment_status,notes
T2,mathematical definitions,"Permission; Permission.le; Ancestor; AncestorOrSelf; P_eff; EffectiveValid; EffectiveDelegable; EffectiveActive; EffectiveVersionFresh",YES,"Base.lean; State.lean",NONE,NONE,EXCLUDED,"All authority dimensions are transparent definitions over actual Γ ancestry."
T2,frozen transition semantics,"DelegateGamma immediate guards; RevokeGamma; ExpireGrant",YES,"Transitions.lean; supporting attenuation lemmas",NONE,NONE,EXCLUDED,"The main transitive theorem itself depends on ancestry definitions; revocation/expiry corollaries use actual transitions."
T2,R0.2c assumptions genuinely used,"The supplied p→c relation is actual Ancestor s p c",YES,"hpc : Ancestor s p c",NONE,NONE,EXCLUDED,"No bounded depth or maximum generation assumption."
T2,theorem-specific premises,"hpc : Ancestor s p c",YES,"T2_transitiveAuthorityAttenuation",NONE,NONE,EXCLUDED,"Single proof premise."
T2,deferred deployment assumptions,NONE,NO,NONE,NONE,NONE,EXCLUDED,"No identity-provider, authorization-service, clock implementation, or revocation-delivery assumption enters the theorem."
T4,mathematical definitions,"BudgetCell.total; GammaSupportExact; CanonicalRoot; LineageContribution; LineageMass; InitialProvision; ProvisionEvent; Provisioned; BudgetHistory",YES,"Base.lean; T4_BudgetConservation.lean","propext; Classical.choice; Quot.sound","h0wf : WellFormed s0",EXCLUDED,"#print axioms reports only Lean foundational/classical dependencies for T4_budgetConservation."
T4,frozen transition semantics,"ReserveBudget; SettleBudget; BurnOutstanding; ReconcileBudget; DelegateBudget; DestroyBudget; ProvisionBudget; actual Γ update relations; UpdatePolicy; ReprovisionTCB",YES,"Transitions.lean; transition-specific T4 lemmas","propext; Classical.choice; Quot.sound","h0wf : WellFormed s0",EXCLUDED,"No conservation certificate is a TrustedStep premise."
T4,R0.2c assumptions genuinely used,"InitialLedger at BudgetHistory.init; exact Γ support at each history node; predecessor PositiveProvisioningEvent for E2+; actual transition witnesses",YES,"BudgetHistory constructors and helper lemmas","propext; Classical.choice; Quot.sound","h0wf : WellFormed s0",EXCLUDED,"ProvisionJudge is predecessor-only. Exact support is proof infrastructure, not trusted state."
T4,theorem-specific premises,"h : BudgetHistory judge s0 ids0 alloc n s ids es",YES,"T4_budgetConservation","propext; Classical.choice; Quot.sound","h0wf : WellFormed s0",EXCLUDED,"The statement retains h0wf; the mass inequality derivation itself does not consume it. Structural WF remains available for the checked ancestry-correspondence lemma via T0 and budgetHistory_to_reachable."
T4,deferred deployment assumptions,NONE,NO,NONE,"T4_e3_successor_epoch_start additionally reports propext","h0wf : WellFormed s0",EXCLUDED,"No dispatcher fidelity, persistence, accounting backend, authorization-service, cryptographic, wall-clock, liveness, or resource-bound assumption is admitted into T4."
